76.5,533,452,86.5,90,70,66,89,95,78,85,91,failed
71.8,482,405.7,83.5,85,63,71,83,75,61,75,81,failed
71.8,476,376,84.5,99,77,81,90,85,70,75,88,failed
67.5,433,332,71,82,75,50,79,85,61,75,81,failed
69.5,443,332,94,96,90,95,92,95,90,95,89,pass
68,527,365.5,74,82,66,67,92,85,65,75,81,failed
78,528,463,90.5,94,78,73,95,85,62,75,87,failed
71,370.2,0,68,67,62,60,86,75,53.3,65,88,failed
71.2,479,357.3,69.5,67,66,52.3,78,75,43.5,0,87,failed
75.2,532,422,66,65,65,60,72,85,45,0,82,failed
69.8,440,357,69,67,66,47.3,73,95,57,65,82,failed
68,500,355,42.8,85,63,72,81,65,40,65,90,failed
68.2,478,379.7,76,96,75,74,82,75,63,75,89,failed
64,439,321.7,69.5,67,39.5,67,73,95,74.5,85,88,failed
62,384.5,0,85,67,64,60,75,85,63,75,82,failed
72.8,518,452.5,81,87,43,67,66,75,40.5,75,0,failed
56,430,284,41.5,57,56.5,63,65,65,51.5,65,79,failed
56.3,473,279,50,41,21,31.5,48.5,65,32,75,63,failed
58.8,347.5,0,65.5,73,65,49,75,65,38.7,65,72,failed
66.8,471,340,77,96,62,64,74,65,42.7,65,78,failed
68.5,471,344.3,84,79,49,82,76,85,64,75,80,pass
64.8,418.7,252,70,67,62,37.5,68,85,10,0,79,failed
71,464,436,70.5,76,61,64,74,95,60,75,88,failed
64.8,484,408.7,73.5,67,64,48.5,63,75,23,65,77,failed
61,440,329.5,46,80,25.5,57.5,71,75,6,0,81,failed
56.7,376.3,0,62,61,54.5,50.3,72,65,43,65,82,failed
63,403,284,88.5,93,68,85,88,85,48,65,86,failed
68,508,398.3,73,77,67,63,73,65,47,65,80,failed
60.8,387,0,74,69,66,26.5,75,75,56.7,0,78,failed
57.5,476,250,75.5,60,49.5,45.3,67,0,29,0,77,failed
55,425,235,62,75,42,60,72,65,40,65,81,failed
67,453,360.3,97,99,71,90,88,75,45.7,65,81,failed
68,556,433,59.7,70,66,57,67,65,47.5,65,82,failed
