57.8,418.7,0,83.5,80,77,75,82,79,75,75,78,failed
66,421,288,78,86,65,74,86,84,61,0,88,failed
60.8,458,292.5,60,64,60,60,76,71,62,0,81,failed
71.2,491,332,87,87,76,85,87,93,85,0,94,pass
62.5,451,329,65,66,67,62,90,70,65,0,90,failed
79,544,479,87.5,74,66,59.5,84,81,83,0,90,failed
64,370.5,0,70,79,72,70,79,78,67,0,84,failed
70.8,481,299,77.5,79,66,61,73,64,74,0,75,failed
68,420.7,293,75,87,73,68,79,69,79,0,83,failed
61.2,379.7,0,60,70,63,52.5,68,73,74,0,81,failed
72,394,0,36.3,0,0,0,0,0,80,75,0,failed
54.1,424,0,70.5,67,66,64,74,76,63,0,63,failed
68,468,307,86.5,87,78,79,76,85,74,0,89,failed
65,468,316.5,76.5,80,77,75,79,90,86,95,93,failed
61.2,486,0,61.5,65,73,48.5,65,73,62,0,83,failed
69.8,496,389.7,82,85,70,79,86,90,77,0,94,failed
67.7,384,0,79,64,67,60,64,68,84,75,83,failed
64.2,365.7,0,85.5,76,67,66,79,81,80,0,87,failed
55,521,310.7,29.7,29.3,62,28.5,33,63,39,0,68,failed
70.5,414.7,307,85,78,74,68,93,90,68,0,94,failed
61.5,433,288.5,72.5,84,67,61,76,74,67,0,86,failed
66.8,444,321,75,76,67,0,0,0,62,0,0,failed
58.2,431,244,75,76,62,60,76,72,63,0,76,failed
41.8,410,0,38,70,0,11,0,0,62,0,0,failed
62.5,435,300.7,68,46.5,65,52.5,70,70,63,0,75,failed
87,467,376,60,31,15,39,43,60,30.5,65,40,failed
56.8,352.3,0,23.5,18,61,30.5,60,74,63,0,70,failed
49.7,370.7,0,62,20,62,31,78,80,46,0,88,failed
62.8,380,0,71.5,66,77,51,65,62,67,0,79,failed
70,427,339.5,78.5,88,74,65,69,77,68,0,85,failed
62.8,474,350.7,29.8,64,60,44.5,29,39,45,0,78,failed
68.8,502,399,38,44.3,68,46,75,73,63,0,83,failed
57.7,420.3,334,41.2,69,72,50,69,68,67,0,84,failed
54.7,355.5,0,61.5,67,68,50.5,64,63,66,0,70,failed
60.7,434,322,66,71,67,71,83,78,62,0,85,failed
56.6,428,314,60.3,72,67,76,88,73,68,0,81,failed
